stationId,KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
1001.0,-3.0,5.9,100.0,6.0,1.6,11.0,0.0,-4.2,0.4,12.0,4.0,0.0,0.0,6.0,0.0,0.0,0.22,0.32,0.34,0.23,110.0,,-2.6,-0.4,2.4,0.12,0.12,0.21,0.21,2.4,0.56,73.0,Abundant snow/sleet,Snowfall,Wet and salty,The sensor has a fault
1002.0,-3.0,6.1,97.0,4.0,0.6,11.0,,-2.8,0.1,6.0,0.0,6.0,,,0.0,0.0,0.31,0.27,0.14,0.17,,112.0,-2.7,0.1,,0.33,0.33,0.28,0.28,0.6,,71.0,Light snow/sleet,Snowfall,The sensor has a fault,Snow
1003.0,-3.8,4.3,95.0,5.0,0.7,11.0,-0.1,-4.3,0.4,6.0,4.0,,,,0.0,0.0,0.26,0.23,0.22,0.21,112.0,,-3.3,0.3,3.2,0.2,0.2,0.21,0.21,0.7,0.25,72.0,Moderate snow/sleet,Snowfall,Wet and salty,
1004.0,-3.3,2.9,98.0,4.0,0.7,11.0,-0.1,-3.7,0.3,6.0,4.0,8.0,,,0.19,,0.13,,0.19,,112.0,110.0,-2.9,0.0,1.9,0.64,0.64,,,0.7,0.21,71.0,Light snow/sleet,Snowfall,Wet and salty,Probably moist and salty
1005.0,-4.3,5.0,95.0,4.0,0.6,11.0,-0.2,-6.1,-0.5,10.0,8.0,8.0,8.0,0.0,0.15,,0.0,,0.0,,109.0,115.0,-3.8,0.2,3.3,0.77,0.77,,,0.6,0.04,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1006.0,-4.4,4.1,92.0,4.0,0.5,11.0,0.0,-7.2,0.6,4.0,4.0,4.0,,,0.06,0.07,0.04,0.04,0.06,0.06,112.0,112.0,-3.9,0.6,3.6,0.78,0.78,0.79,0.79,0.5,0.12,71.0,Light snow/sleet,Snowfall,Wet and salty,Wet and salty
1009.0,-4.0,1.8,98.0,4.0,0.2,11.0,-0.7,-6.1,-0.2,4.0,8.0,8.0,,,0.07,,0.02,,0.03,,112.0,112.0,-3.5,-0.1,3.1,0.81,0.81,,,0.2,0.02,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1010.0,-4.1,2.9,100.0,5.0,0.3,11.0,-0.2,-6.4,0.0,3.0,8.0,4.0,,,0.03,,0.03,,0.04,,112.0,110.0,-3.5,-0.7,3.1,0.75,0.75,,,0.3,0.04,86.0,Moderate snow/sleet,Snowfall,Probably moist and salty,Wet and salty
1011.0,-3.6,6.1,99.0,4.0,0.7,11.0,0.0,-4.4,-0.1,5.0,6.0,0.0,,,0.0,0.0,0.26,0.25,0.19,0.2,112.0,,-3.1,-0.2,2.3,0.24,0.24,0.22,0.22,1.5,0.45,71.0,Light snow/sleet,Snowfall,Snow,The sensor has a fault
1012.0,-2.8,2.9,100.0,6.0,1.5,11.0,,-2.9,0.4,7.0,0.0,6.0,6.0,6.0,0.0,0.0,0.24,0.3,0.1,0.1,,112.0,-2.4,-0.4,,0.4,0.4,0.39,0.39,1.7,,73.0,Abundant snow/sleet,Snowfall,The sensor has a fault,Snow
1013.0,-2.8,4.1,97.0,5.0,3.4,11.0,0.0,-3.5,0.7,12.0,6.0,6.0,,,0.0,,0.3,,0.2,,110.0,110.0,-2.5,0.1,2.0,0.24,0.24,,,3.4,0.62,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1014.0,-1.9,5.3,97.0,5.0,3.0,11.0,0.0,-2.4,-0.1,7.0,6.0,6.0,,,0.0,,0.18,,0.18,,110.0,115.0,-1.7,0.2,1.3,0.24,0.24,,,3.0,0.62,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1015.0,-2.3,1.6,100.0,6.0,3.5,11.0,0.0,-3.9,0.5,12.0,4.0,3.0,,,0.0,,0.29,,0.15,,110.0,112.0,-1.8,-0.5,1.6,0.32,0.32,,,3.5,0.56,73.0,Abundant snow/sleet,Snowfall,Wet and salty,Wet
1016.0,-3.3,5.4,96.0,5.0,2.5,11.0,0.0,-4.2,0.1,11.0,3.0,4.0,,,0.0,,0.3,,0.12,,112.0,112.0,-2.9,0.2,2.6,0.36,0.36,,,2.5,0.33,72.0,Moderate snow/sleet,Snowfall,Wet,Wet and salty
1018.0,-4.6,5.6,94.0,4.0,0.6,11.0,0.0,-6.2,-1.2,5.0,6.0,,,,0.0,,0.28,,0.13,,112.0,,-4.1,0.4,3.2,0.36,0.36,,,0.6,0.16,71.0,Light snow/sleet,Snowfall,Snow,
1019.0,-3.6,3.2,100.0,4.0,0.8,11.0,-0.1,-5.4,-0.1,14.0,4.0,6.0,8.0,8.0,0.0,0.0,0.13,0.16,0.15,0.12,112.0,115.0,-2.9,-0.6,2.5,0.3,0.3,0.38,0.38,1.1,0.32,71.0,Light snow/sleet,Snowfall,Wet and salty,Snow
1020.0,-4.7,2.5,93.0,4.0,0.5,11.0,0.0,-4.6,0.0,4.0,3.0,4.0,2.0,3.0,0.0,0.0,0.24,0.19,0.18,0.14,115.0,115.0,-4.1,0.4,3.8,0.26,0.26,0.31,0.31,0.5,0.04,71.0,Light snow/sleet,Snowfall,Wet,Wet and salty
1021.0,-4.4,5.1,94.0,5.0,1.0,11.0,0.0,-7.0,-0.4,24.0,6.0,,,,0.0,,0.19,,0.14,,112.0,,-3.9,0.3,3.4,0.31,0.31,,,1.0,0.32,72.0,Moderate snow/sleet,Snowfall,Snow,
1022.0,-4.7,7.8,88.0,4.0,0.2,11.0,-0.4,-5.5,0.4,1.0,4.0,4.0,8.0,8.0,0.12,0.12,0.0,0.0,0.0,0.0,112.0,112.0,-4.1,1.2,4.0,0.79,0.79,0.79,0.79,0.2,0.03,71.0,Light snow/sleet,Snowfall,Wet and salty,Wet and salty
1030.0,-4.0,5.1,91.0,5.0,1.2,11.0,-0.3,-3.5,0.2,15.0,4.0,4.0,,,,,,,,,109.0,115.0,-3.5,0.8,3.2,,,,,1.3,0.25,72.0,Moderate snow/sleet,Snowfall,Wet and salty,Wet and salty
1032.0,-4.2,4.7,90.0,4.0,0.9,11.0,0.0,-3.8,-0.4,6.0,8.0,4.0,,,,,,,,,109.0,115.0,-3.8,1.0,3.0,,,,,0.9,0.33,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Wet and salty
1034.0,-2.9,3.4,100.0,5.0,2.2,11.0,-0.1,-3.6,0.2,24.0,6.0,6.0,6.0,6.0,,0.0,,0.49,,0.12,110.0,112.0,-2.6,-0.4,-0.7,,,0.37,0.37,2.2,0.5,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1035.0,-3.8,5.4,95.0,5.0,2.1,11.0,0.0,-4.2,0.1,11.0,6.0,6.0,,,0.0,0.0,0.36,0.74,0.29,0.07,112.0,112.0,-3.3,0.3,3.0,0.17,0.17,0.37,0.37,2.1,0.58,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1036.0,-3.5,2.0,98.0,4.0,0.4,11.0,0.0,-5.4,0.7,4.0,6.0,4.0,6.0,6.0,0.0,,0.14,,0.19,,112.0,115.0,-3.1,-0.1,2.1,0.23,0.23,,,0.4,0.17,71.0,Light snow/sleet,Snowfall,Snow,Wet and salty
1037.0,-5.0,4.2,90.0,5.0,0.3,11.0,0.0,-6.5,0.4,8.0,3.0,3.0,,,0.06,,0.02,,0.02,,112.0,115.0,-4.5,0.9,4.2,0.81,0.81,,,0.3,0.08,86.0,Moderate snow/sleet,Snowfall,Wet,Wet
1041.0,-3.6,2.8,97.0,5.0,1.0,11.0,-0.3,-4.7,0.3,6.0,8.0,4.0,6.0,6.0,0.0,0.0,0.18,0.12,0.15,0.1,112.0,112.0,-3.2,0.0,2.5,0.3,0.3,0.42,0.42,1.0,0.04,72.0,Moderate snow/sleet,Snowfall,Probably moist and salty,Wet and salty
1042.0,-4.9,6.7,92.0,4.0,0.4,11.0,-0.1,-4.5,-0.2,5.0,8.0,8.0,,,0.0,,0.23,,0.12,,112.0,110.0,-4.3,0.6,3.5,0.36,0.36,,,0.4,0.1,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1043.0,-4.3,6.0,91.0,5.0,1.4,11.0,0.0,-5.1,0.6,14.0,3.0,3.0,4.0,4.0,0.04,0.0,0.22,0.07,0.22,0.13,110.0,110.0,-3.9,0.9,3.6,0.2,0.2,0.33,0.33,1.7,0.34,72.0,Moderate snow/sleet,Snowfall,Wet,Wet
1045.0,-3.1,4.8,98.0,5.0,1.4,11.0,,-3.0,1.3,19.0,0.0,4.0,6.0,6.0,0.0,,0.27,,0.19,,125.0,112.0,-2.8,0.0,,0.24,0.24,,,4.2,,72.0,Moderate snow/sleet,Snowfall,The sensor has a fault,Wet and salty
1047.0,-3.3,8.5,96.0,6.0,2.2,11.0,0.0,-3.0,0.5,24.0,6.0,6.0,6.0,3.0,0.03,,0.26,,0.15,,110.0,110.0,-2.9,0.2,2.1,0.32,0.32,,,2.2,0.66,73.0,Abundant snow/sleet,Snowfall,Snow,Snow
1049.0,-3.9,5.2,95.0,5.0,1.0,11.0,,-3.3,0.1,9.0,,,,,,,,,,,,,-3.5,0.2,,,,,,1.2,,72.0,Moderate snow/sleet,Snowfall,,
1051.0,-3.2,7.6,96.0,5.0,2.5,11.0,0.0,-4.4,0.2,8.0,6.0,6.0,,,0.0,,0.8,,0.06,,110.0,110.0,-2.8,0.3,2.2,0.37,0.37,,,2.5,0.57,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1052.0,-4.6,3.9,92.0,4.0,1.1,11.0,-0.2,-4.0,0.1,13.0,8.0,8.0,,,0.03,,0.08,,0.1,,110.0,110.0,-4.1,0.6,3.6,0.43,0.43,,,1.1,0.05,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1053.0,-2.4,4.5,97.0,5.0,4.6,11.0,0.0,-2.8,0.4,21.0,6.0,3.0,,,0.0,,0.17,,0.2,,112.0,107.0,-2.1,0.2,1.4,0.21,0.21,,,4.6,0.88,72.0,Moderate snow/sleet,Snowfall,Snow,Wet
1054.0,-4.6,2.8,95.0,5.0,0.4,11.0,-0.1,-6.5,-0.3,4.0,8.0,8.0,,,0.0,,0.23,,0.1,,112.0,110.0,-4.1,0.2,3.0,0.41,0.41,,,0.4,0.04,72.0,Moderate snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1055.0,-2.8,4.7,100.0,6.0,2.7,11.0,0.0,,,3.0,6.0,3.0,,,,,,,,,109.0,112.0,,,,,,,,,0.78,73.0,Abundant snow/sleet,Snowfall,Snow,Wet
1059.0,-5.2,4.2,91.0,5.0,0.5,11.0,-2.9,-6.5,0.2,10.0,4.0,4.0,,,0.25,,0.0,,0.0,,112.0,109.0,-4.6,0.7,4.0,0.73,0.73,,,0.5,0.14,72.0,Moderate snow/sleet,Snowfall,Wet and salty,Wet and salty
1065.0,-3.4,3.0,98.0,6.0,2.6,11.0,,-4.3,0.7,25.0,0.0,6.0,6.0,6.0,0.0,0.0,0.24,0.22,0.35,0.17,,110.0,-3.0,-0.1,,0.13,0.13,0.26,0.26,3.3,,73.0,Abundant snow/sleet,Snowfall,The sensor has a fault,Snow
1066.0,-2.7,3.9,100.0,4.0,0.6,11.0,0.0,-5.1,0.5,7.0,3.0,3.0,3.0,4.0,0.0,0.0,0.2,0.22,0.15,0.24,110.0,110.0,-2.2,-0.6,1.9,0.3,0.3,0.18,0.18,0.6,0.05,71.0,Light snow/sleet,Snowfall,Wet,Wet
1070.0,-6.5,10.3,77.0,4.0,0.0,11.0,-0.2,-8.4,-0.9,1.0,2.0,1.0,,,0.0,,0.03,,0.01,,112.0,112.0,-5.8,2.7,5.9,0.8,0.8,,,0.0,0.0,85.0,Light snow/sleet,Snowfall,Moist,Dry
1071.0,-2.9,3.6,100.0,6.0,2.4,11.0,-0.4,-3.1,1.1,21.0,4.0,6.0,6.0,4.0,,,,,,,104.0,112.0,-2.6,-0.3,1.9,,,,,2.4,0.32,73.0,Abundant snow/sleet,Snowfall,Wet and salty,Snow
1072.0,-0.3,,100.0,0.0,0.0,,-1.6,,,,8.0,8.0,,,,,,,,,113.0,113.0,,,,,,,,,0.0,,Dry weather,,Probably moist and salty,Probably moist and salty
1073.0,-2.8,1.7,100.0,6.0,2.2,11.0,-0.1,-3.3,2.3,10.0,4.0,4.0,6.0,4.0,,,,,,,112.0,112.0,-2.2,-0.5,1.3,,,,,2.3,0.46,73.0,Abundant snow/sleet,Snowfall,Wet and salty,Wet and salty
1084.0,-3.9,,93.0,,,,-0.1,-3.5,0.6,,8.0,,,,0.1,,0.06,,0.18,,110.0,,-3.4,0.6,2.7,0.46,0.46,,,,0.12,,,,Probably moist and salty,
1085.0,-4.0,6.3,95.0,4.0,1.0,11.0,0.0,-3.3,0.3,9.0,6.0,,,,0.29,,0.05,,0.22,,110.0,,-3.5,0.3,3.1,0.7,0.7,,,1.0,0.3,71.0,Light snow/sleet,Snowfall,Snow,
1087.0,-5.0,,87.0,5.0,1.3,11.0,0.0,,,1.0,6.0,,,,,,,,,,108.0,,,,,,,,,,0.24,72.0,Moderate snow/sleet,Snowfall,Snow,
1088.0,-5.0,,87.0,5.0,1.3,11.0,,,,,3.0,,,,1.76,,0.0,,0.0,,,,,,,0.74,0.74,,,,1.76,72.0,Moderate snow/sleet,Snowfall,Wet,
1092.0,-3.1,,89.0,0.0,0.0,,,,,,,8.0,,,,,,,,,2528.0,110.0,,,,,,,,,,,Dry weather,,,Probably moist and salty
1094.0,-3.2,,89.0,,,,-0.6,,,,8.0,,,,,,,,,,113.0,113.0,,,,,,,,,0.0,,,,Probably moist and salty,
1095.0,-3.2,,89.0,,,,,,,,,,,,,,,,,,2458.0,2923.0,,,,,,,,,,,,,,
1096.0,-3.3,3.0,99.0,5.0,1.4,11.0,0.0,-3.3,1.0,10.0,4.0,6.0,,,0.0,0.0,0.16,0.22,0.22,0.24,115.0,112.0,-2.9,-0.2,2.5,0.19,0.19,0.18,0.18,1.4,0.43,72.0,Moderate snow/sleet,Snowfall,Wet and salty,Snow
1108.0,-6.5,5.8,75.0,4.0,0.1,11.0,-2.4,-4.9,0.0,1.0,8.0,8.0,4.0,2.0,0.06,0.0,0.0,0.0,0.0,0.0,112.0,112.0,-5.7,3.2,6.1,0.81,0.81,0.82,0.82,0.1,0.0,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
1113.0,-1.9,,81.0,,,,0.0,,,,1.0,2.0,,,,,,,,,168.0,110.0,,,,,,,,,0.0,,,,Dry,Moist
1115.0,-4.3,5.1,92.0,5.0,2.5,11.0,0.0,-4.8,0.4,32.0,1.0,0.0,6.0,6.0,0.0,0.0,0.3,0.23,0.18,0.19,475.0,,-3.8,0.6,2.8,0.27,0.27,0.24,0.24,2.5,0.01,72.0,Moderate snow/sleet,Snowfall,Dry,The sensor has a fault
1116.0,-3.4,2.2,100.0,5.0,1.7,11.0,-0.1,-4.4,0.2,10.0,8.0,8.0,6.0,4.0,0.0,0.0,0.2,0.29,0.11,0.18,110.0,112.0,-3.0,-0.4,2.5,0.39,0.39,0.27,0.27,2.9,0.1,72.0,Moderate snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155.0,-3.4,,97.0,5.0,1.0,11.0,,-3.9,0.9,5.0,,,,,0.0,0.0,0.28,0.42,0.2,0.1,,,-3.0,0.1,,0.24,0.24,0.38,0.38,4.2,,72.0,Moderate snow/sleet,Snowfall,,
1158.0,-3.7,,96.0,6.0,1.3,11.0,,-4.3,1.0,11.0,,,,,0.0,0.0,0.19,0.33,0.21,0.16,,,-3.2,0.1,,0.21,0.21,0.31,0.31,2.6,,73.0,Abundant snow/sleet,Snowfall,,
1161.0,-3.1,,100.0,4.0,0.6,11.0,,-5.0,0.9,3.0,,,,,0.04,0.31,0.12,0.11,0.16,0.23,,,-2.7,-0.3,,0.28,0.28,0.69,0.69,2.3,,71.0,Light snow/sleet,Snowfall,,
1163.0,-3.1,,97.0,,,,,-5.0,0.5,,,,,,0.0,0.0,0.38,0.28,0.17,0.16,,,-2.8,0.0,,0.3,0.3,0.3,0.3,,,,,,,
1165.0,-4.5,5.5,93.0,4.0,0.8,11.0,0.0,-5.3,-0.4,9.0,6.0,,,,0.0,,0.32,,0.15,,107.0,,-3.9,0.5,3.6,0.32,0.32,,,0.9,0.33,71.0,Light snow/sleet,Snowfall,Snow,
1166.0,-4.9,7.9,91.0,4.0,1.0,11.0,-0.9,-5.8,-0.2,6.0,4.0,,,,0.0,,0.15,,0.18,,115.0,,-4.3,0.8,3.4,0.24,0.24,,,1.0,0.08,71.0,Light snow/sleet,Snowfall,Wet and salty,
1167.0,-3.1,1.3,99.0,5.0,0.9,11.0,0.0,-4.9,0.5,8.0,3.0,,,,0.0,,0.2,,0.21,,112.0,,-2.8,-0.2,2.5,0.21,0.21,,,0.9,0.08,72.0,Moderate snow/sleet,Snowfall,Wet,
1169.0,-3.9,2.8,95.0,5.0,1.4,11.0,0.0,-5.6,0.1,8.0,4.0,,,,0.0,,0.26,,0.17,,115.0,,-3.5,0.3,3.1,0.28,0.28,,,1.4,0.21,72.0,Moderate snow/sleet,Snowfall,Wet and salty,
1171.0,-3.6,6.3,93.0,5.0,1.7,11.0,-0.1,-2.8,0.6,11.0,4.0,4.0,,,0.0,0.0,0.15,0.25,0.23,0.21,112.0,112.0,-3.2,0.6,2.8,0.17,0.17,0.21,0.21,1.7,0.2,72.0,Moderate snow/sleet,Snowfall,Wet and salty,Wet and salty
1174.0,,,,,,,,,,,,,,,0.0,0.0,0.21,0.38,0.24,0.12,,,,,,0.18,0.18,0.37,0.37,,,,,,,
1177.0,-3.3,4.3,98.0,5.0,2.1,11.0,0.0,-3.0,0.4,18.0,6.0,6.0,,,0.0,0.0,0.33,0.4,0.17,0.1,110.0,115.0,-3.0,0.0,2.5,0.29,0.29,0.38,0.38,2.1,0.41,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
1180.0,,,,,,,,,,,,,,,0.0,0.0,0.66,0.23,0.07,0.23,,,,,,0.38,0.38,0.19,0.19,,,,,,,
1183.0,-4.5,2.8,92.0,4.0,0.7,11.0,0.0,-4.0,0.1,7.0,6.0,6.0,6.0,3.0,0.0,0.0,0.16,0.1,0.16,0.23,112.0,109.0,-4.0,0.7,3.4,0.28,0.28,0.17,0.17,0.7,0.14,71.0,Light snow/sleet,Snowfall,Snow,Snow
1189.0,-3.8,4.3,95.0,5.0,0.7,11.0,-0.1,-4.3,0.4,6.0,4.0,,,,0.0,0.0,0.26,0.23,0.22,0.21,112.0,,-3.3,0.3,3.2,0.2,0.2,0.21,0.21,0.7,0.25,72.0,Moderate snow/sleet,Snowfall,Wet and salty,
1193.0,-2.9,2.0,100.0,4.0,0.3,11.0,-0.1,-4.1,0.8,2.0,8.0,8.0,,,0.0,0.06,0.14,0.14,0.12,0.12,112.0,112.0,-2.6,-0.3,1.9,0.38,0.38,0.4,0.4,0.3,0.07,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
2002.0,-1.9,2.2,98.0,5.0,1.4,11.0,-0.2,-2.8,1.5,6.0,4.0,4.0,,,,0.21,,0.0,,0.0,107.0,110.0,-1.7,0.1,2.1,,,0.74,0.74,1.5,0.08,72.0,Moderate snow/sleet,Snowfall,Wet and salty,Wet and salty
2003.0,-2.1,2.8,99.0,4.0,4.6,11.0,-0.1,-3.0,2.0,6.0,4.0,4.0,,,0.38,,0.02,,0.08,,112.0,110.0,-1.9,0.0,3.1,0.69,0.69,,,4.6,0.12,71.0,Light snow/sleet,Snowfall,Wet and salty,Wet and salty
2004.0,-3.0,4.0,98.0,6.0,3.0,11.0,-0.2,-3.5,0.0,26.0,4.0,,,,0.48,,0.03,,0.05,,112.0,,-2.6,-0.1,2.8,0.67,0.67,,,3.0,0.11,73.0,Abundant snow/sleet,Snowfall,Wet and salty,
2006.0,-3.2,3.9,98.0,6.0,6.8,11.0,-0.5,-3.2,0.3,29.0,4.0,0.0,,,,0.0,,0.3,,0.24,112.0,107.0,-2.8,-0.1,2.2,,,0.2,0.2,6.8,0.1,73.0,Abundant snow/sleet,Snowfall,Wet and salty,The sensor has a fault
2007.0,-4.0,1.9,95.0,4.0,0.4,11.0,-0.2,-4.8,-0.4,3.0,8.0,1.0,,,,0.18,,0.0,,0.0,112.0,435.0,-3.6,0.3,4.2,,,0.76,0.76,0.4,0.01,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Dry
2008.0,-2.5,1.9,97.0,5.0,3.9,11.0,0.0,-2.8,2.1,18.0,6.0,6.0,,,0.0,,0.29,,0.24,,112.0,110.0,-2.2,0.2,1.9,0.19,0.19,,,3.9,1.1,72.0,Moderate snow/sleet,Snowfall,Snow,Snow
2009.0,-2.2,1.3,99.0,4.0,1.5,11.0,-0.1,-2.8,1.3,10.0,4.0,8.0,,,,0.44,,0.02,,0.05,110.0,110.0,-1.9,0.0,3.0,,,0.68,0.68,1.5,0.05,71.0,Light snow/sleet,Snowfall,Wet and salty,Probably moist and salty
2010.0,-6.1,1.5,82.0,4.0,0.3,11.0,-0.5,-6.2,-0.3,1.0,8.0,2.0,,,0.07,,0.0,,0.0,,110.0,112.0,-5.4,1.9,6.6,0.81,0.81,,,0.3,0.01,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Moist
2011.0,-3.8,3.4,91.0,4.0,2.8,11.0,0.0,-4.1,0.4,7.0,2.0,3.0,,,0.07,,0.07,,0.17,,112.0,110.0,-3.4,0.8,3.1,0.38,0.38,,,2.8,0.04,71.0,Light snow/sleet,Snowfall,Moist,Wet
2012.0,-5.4,9.4,80.0,4.0,0.1,11.0,-0.8,-4.1,-0.4,0.0,8.0,8.0,,,,0.12,,0.0,,0.0,110.0,110.0,-4.8,2.4,5.2,,,0.79,0.79,0.1,0.0,71.0,Light snow/sleet,Snowfall,Probably moist and salty,Probably moist and salty
2013.0,-3.9,3.2,93.0,5.0,1.8,11.0,0.0,-3.6,0.5,4.0,2.0,4.0,,,0.54,,0.02,,0.07,,145.0,112.0,-3.5,0.6,3.4,0.66,0.66,,,1.8,0.01,72.0,Moderate snow/sleet,Snowfall,Moist,Wet and salty
2014.0,-4.1,3.0,91.0,4.0,0.9,11.0,0.0,-3.9,0.0,3.0,3.0,0.0,,,0.34,,0.0,,0.0,,112.0,,-3.7,0.8,4.0,0.7,0.7,,,0.9,0.05,71.0,Light snow/sleet,Snowfall,Wet,The sensor has a fault
2015.0,-2.7,5.6,94.0,4.0,0.3,11.0,-0.9,-2.6,0.7,1.0,4.0,8.0,,,0.25,,0.04,,0.07,,110.0,110.0,-2.4,0.6,2.5,0.72,0.72,,,0.3,0.01,71.0,Light snow/sleet,Snowfall,Wet and salty,Probably moist and salty
2016.0,-4.3,6.8,91.0,4.0,1.4,11.0,0.0,-3.2,0.4,4.0,1.0,6.0,,,,0.38,,0.17,,0.1,110.0,110.0,-3.8,0.8,3.4,,,0.69,0.69,1.4,0.01,71.0,Light snow/sleet,Snowfall,Dry,Snow
2017.0,-4.8,3.9,92.0,4.0,1.5,11.0,0.0,-3.8,-0.1,20.0,6.0,6.0,,,,0.0,,0.66,,0.04,110.0,112.0,-4.3,0.6,3.6,,,0.38,0.38,1.5,0.32,71.0,Light snow/sleet,Snowfall,Snow,Snow
