stationId,KASTEPISTE,KESKITUULI,ILMAN_KOSTEUS,SADE,SADESUMMA,SATEEN_OLOMUOTO_PWDXX,TURVALLISUUSLÄMPÖ_1,ILMAN_LÄMPÖTILA_24H_MIN,ILMAN_LÄMPÖTILA_24H_MAX,LUMEN_SYVYYS,KELI_1,KELI_2,KELI_3,KELI_4,VEDEN_MÄÄRÄ1,VEDEN_MÄÄRÄ2,LUMEN_MÄÄRÄ1,LUMEN_MÄÄRÄ2,JÄÄN_MÄÄRÄ1,JÄÄN_MÄÄRÄ2,JÄÄTAAJUUS_1,JÄÄTAAJUUS_2,KUURAPISTE,KUURAPISTE_ERO_ILMA,KUURAPISTE_ERO_TIE,KITKA1,KITKA1_LUKU,KITKA2,KITKA2_LUKU,SADESUMMA_LIUKUVA_24H,KOSTEUDEN_MÄÄRÄ_1,VALLITSEVA_SÄÄ,SADE_desc,SATEEN_OLOMUOTO_PWDXX_desc,KELI_1_desc,KELI_2_desc
1001.0,-0.2,1.0,93.0,0.0,0.0,7.0,-0.6,-0.9,2.3,,1.0,2.0,2.0,2.0,0.02,0.0,0.0,0.0,0.0,0.0,110.0,115.0,-0.2,1.0,3.0,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Moist
1002.0,1.1,6.4,97.0,0.0,0.0,7.0,-0.4,-1.2,1.7,,2.0,2.0,,,0.01,0.01,0.0,0.0,0.0,0.0,115.0,110.0,1.1,0.4,1.1,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Moist
1003.0,-0.2,2.2,97.0,0.0,0.0,7.0,-0.4,-0.7,2.5,,2.0,,,,0.01,0.0,0.0,0.0,0.0,0.0,109.0,,-0.2,0.5,3.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,
1004.0,0.1,2.7,92.0,0.0,0.0,7.0,-0.4,-1.0,2.5,,1.0,1.0,,,0.0,,0.0,,0.0,,110.0,110.0,0.1,1.2,2.0,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1005.0,-0.6,2.5,89.0,0.0,0.0,7.0,-0.1,-1.1,3.3,,2.0,1.0,8.0,0.0,0.0,,0.0,,0.0,,109.0,445.0,-0.5,1.5,3.0,0.82,0.82,,,0.1,0.0,0.0,Dry weather,Dry weather,Moist,Dry
1006.0,0.1,3.8,91.0,0.0,0.0,7.0,-0.1,-1.7,3.8,,1.0,1.0,,,0.01,0.01,0.0,0.0,0.0,0.0,110.0,110.0,0.1,1.4,1.3,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1009.0,-1.1,2.1,89.0,0.0,0.0,7.0,-0.2,-1.0,2.9,,1.0,1.0,,,0.0,,0.0,,0.0,,413.0,422.0,-1.0,1.6,3.1,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1010.0,-0.9,3.1,89.0,0.0,0.0,7.0,0.0,-1.0,4.2,,1.0,1.0,,,0.0,,0.0,,0.0,,415.0,382.0,-0.8,1.5,3.0,0.82,0.82,,,0.0,0.0,0.0,Dry weather,Dry weather,Dry,Dry
1011.0,1.0,2.6,95.0,0.0,0.0,7.0,-0.4,-1.1,2.3,,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,109.0,115.0,1.0,0.8,0.9,0.82,0.82,0.82,0.82,0.0,0.0,0.0,Dry weather,Dry weather,Moist,Moist
1012.0,0.4,1.9,97.0,0.0,0.0,7.0,-1.1,-0.9,2.8,,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,,0.4,0.4,2.1,0.82,0.82,0.82,0.82,0.0,0.0,10.0,Dry weather,Dry weather,Moist,The sensor has a fault
